FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7426,3388.972288,1,0,1,0,0,0,0.009006078
7428,3389.0056,1,0,1,0,0,0,0.008972951
7430,3389.038944,1,0,1,0,0,0,0.008992478
7432,3389.072288,1,0,1,0,0,0,0.008954818
7434,3389.1056,1,0,1,0,0,0,0.009008519
7436,3389.138944,1,0,1,0,0,0,0.008955515
7438,3389.172288,1,0,1,0,0,0,0.008982715
7440,3389.2056,1,0,1,0,0,0,0.008962489
7442,3389.238944,1,0,1,0,0,0,0.008996314
7444,3389.272256,1,0,1,0,0,0,0.00893529
7446,3389.3056,1,0,1,0,0,0,0.008986899
7448,3389.338944,1,0,1,0,0,0,0.008970858
7450,3389.372256,1,0,1,0,0,0,0.008953772
7452,3389.4056,1,0,1,0,0,0,0.008963884
7454,3389.438912,1,0,1,0,0,0,0.008955515
7456,3389.472256,1,0,1,0,0,0,0.008952726
7458,3389.5056,1,0,1,0,0,0,0.008925875
7460,3389.538912,1,0,1,0,0,0,0.00896493
7462,3389.572256,1,0,1,0,0,0,0.008931106
7464,3389.6056,1,0,1,0,0,0,0.008966325
7466,3389.638912,1,0,1,0,0,0,0.008989689
7468,3389.672256,1,0,1,0,0,0,0.008979576
7470,3389.705568,1,0,1,0,0,0,0.008945403
7472,3389.738912,1,0,1,0,0,0,0.008962489
7474,3389.772256,1,0,1,0,0,0,0.008936685
7476,3389.805568,1,0,1,0,0,0,0.008973997
7478,3389.838912,1,0,1,0,0,0,0.008957956
7480,3389.872256,1,0,1,0,0,0,0.008947146
7482,3389.905568,1,0,1,0,0,0,0.008941218
7484,3389.938912,1,0,1,0,0,0,0.009002591
7486,3389.972224,1,0,1,0,0,0,0.008986899
7488,3390.005568,1,0,1,0,0,0,0.008954818
7490,3390.038912,1,0,1,0,0,0,0.008979576
7492,3390.072224,1,0,1,0,0,0,0.008941218
7494,3390.105568,1,0,1,0,0,0,0.00891646
7496,3390.138912,1,0,1,0,0,0,0.008954121
7498,3390.172224,1,0,1,0,0,0,0.008974694
7500,3390.205568,1,0,1,0,0,0,0.008964582
7502,3390.238912,1,0,1,0,0,0,0.008978879
7504,3390.272224,1,0,1,0,0,0,0.00897051
7506,3390.305568,1,0,1,0,0,0,0.009007822
7508,3390.33888,1,0,1,0,0,0,0.008933198
7510,3390.372224,1,0,1,0,0,0,0.008974346
7512,3390.405568,1,0,1,0,0,0,0.008976438
7514,3390.43888,1,0,1,0,0,0,0.008977135
7516,3390.472224,1,0,1,0,0,0,0.008969812
7518,3390.505568,1,0,1,0,0,0,0.008980622
7520,3390.53888,1,0,1,0,0,0,0.008976787
7522,3390.572224,1,0,1,0,0,0,0.008942962
7524,3390.605536,1,0,1,0,0,0,0.00892727
7526,3390.63888,1,0,1,0,0,0,0.00898934
